Year,UPI,Cash
2029.6871508379888,1551182.6419964868,7092356.358003513
2029.7709497206704,1656952.694282153,6993493.305717847
2029.854748603352,1768111.9731988246,6888906.026801175
2029.9385474860335,1884696.5429571667,6778574.457042834
2030.022346368715,2006709.8078698637,6662511.192130136
2030.1061452513966,2134119.3474964844,6540764.6525035165
2030.1899441340781,2266851.935387089,6413416.064612911
2030.2737430167597,2404794.5512342867,6280593.448765713
2030.3575418994412,2547790.8317416357,6142468.168258365
2030.441340782123,2695637.473762816,5999251.526237183
2030.5251396648046,2848087.484671552,5851205.515328447
2030.608938547486,3004845.314942496,5698631.685057503
2030.6927374301677,3165573.5094100344,5541882.490589965
2030.7765363128492,3329888.856638753,5381348.143361247
2030.8603351955308,3497368.8190222015,5217461.180977798
2030.9441340782123,3667555.918028419,5050693.081971581
2031.0279329608938,3839955.206484424,4881539.793515576
2031.1117318435754,4014049.856589319,4710531.143410681
2031.195530726257,4189298.31390942,4538212.68609058
2031.2793296089385,4365148.000000001,4365147.999999999
2031.36312849162,4541037.788175648,4191906.2118243515
2031.4469273743016,4716403.797609993,4019054.2023900063
2031.5307262569831,4890692.231108395,3847154.768891604
2031.6145251396647,5063360.586069069,3676754.413930931
2031.6983240223465,5233889.7690589465,3508381.230941053
2031.782122905028,5401783.86080649,3342534.1391935092
2031.8659217877096,5566580.031415594,3179680.9685844057
2031.9497206703911,5727855.296264748,3020254.703735252
2032.0335195530727,5885218.579574549,2864643.420425451
2032.1173184357542,6038331.680848255,2713197.3191517456
2032.2011173184358,6186894.065320761,2566217.934679239
2032.2849162011173,6330652.278847256,2423961.721152744
2032.3687150837989,6469399.468423922,2286639.5315760784
2032.4525139664804,6602977.015486436,2154417.9845135636
2032.536312849162,6731264.187786744,2027417.812213256
2032.6201117318435,6854184.92628793,1905719.0737120698
2032.703910614525,6971700.048790331,1789361.9512096692
2032.7877094972066,7083812.242467258,1678351.7575327416
2032.8715083798882,7190550.19797604,1572658.8020239598
2032.95530726257,7291976.363009127,1472224.6369908731
2033.0391061452515,7388181.27928055,1376964.72071945
2033.122905027933,7479270.86289715,1286770.1371028495
2033.2067039106146,7565376.393633129,1201513.6063668707
2033.2905027932961,7646644.656430456,1121051.343569544
2033.3743016759777,7723235.7079601,1045226.2920399001
2033.4581005586592,7795319.127273994,973870.8727260065
2033.5418994413408,7863069.552165778,906809.4478342216
2033.6256983240223,7926672.32009795,843861.6799020494
2033.7094972067039,7986311.530176137,784843.4698238637
2033.7932960893854,8042177.1490475265,729569.8509524738
2033.877094972067,8094451.520291164,677855.4797088363
2033.9608938547485,8143320.706441956,629517.2935580445
2034.04469273743,8188969.724127457,584375.2758725437
2034.1284916201116,8231572.20260987,542252.79739013
2034.2122905027934,8271300.68721825,502978.31278175005
2034.296089385475,8308325.138785409,466385.8612145907
2034.3798882681565,8342804.884691935,432315.1153080649
2034.463687150838,8374897.694269406,400612.30573059444
2034.5474860335196,8404751.95250739,371130.0474926109
2034.6312849162011,8432503.56945363,343727.43054636987
2034.7150837988827,8458293.172360051,318270.8276399489
2034.7988826815642,8482245.989134446,294633.01086555474
2034.8826815642458,8504486.32220345,272693.67779655
2034.9664804469273,8525125.111950649,252338.88804935195
2035.0502793296089,8544273.63858557,233461.3614144315
2035.1340782122904,8562033.055697752,215959.94430224868
2035.217877094972,8578495.537106793,199739.46289320645
2035.3016759776535,8593756.229545271,184710.77045472962
2035.3854748603353,8607894.940927472,170790.05907252838
2035.4692737430169,8620993.987267265,157899.01273273575
2035.5530726256984,8633126.706730502,145964.29326949888
2035.63687150838,8644361.625252593,134917.37474740684
2035.7206703910615,8654761.725558758,124694.27444124172
2035.804469273743,8664389.626994614,115235.37300538654
2035.8882681564246,8673298.960580029,106485.0394199717
2035.9720670391062,8681547.436085004,98391.56391499493
2036.0558659217877,8689177.314763062,90906.68523693774
2036.1396648044692,8696233.407254247,83985.59274575386
2036.2234636871508,8702763.311215702,77586.68878429718
2036.3072625698323,8708801.7643791,71671.2356208992
2036.391061452514,8714386.682134092,66203.3178659081
2036.4748603351954,8719553.401264556,61149.5987354436
2036.558659217877,8724328.890516812,56479.1094831881
2036.6424581005588,8728743.827044938,52163.17295506166
2036.7262569832403,8732826.798391327,48175.20160867277
2036.8100558659219,8736600.466759564,44490.53324043643
2036.8938547486034,8740092.645103788,41086.35489621258
2036.977653631285,8743319.511250205,37941.4887497952
2037.0614525139665,8746298.657521859,35036.34247814141
2037.145251396648,8749057.178904695,32352.821095305342
2037.2290502793296,8751604.885250691,29874.114749308486
2037.3128491620112,8753961.291043459,27584.7089565406
2037.3966480446927,8756138.7703074,25470.229692600253
2037.4804469273743,8758149.615103737,23517.3848962633
2037.5642458100558,8760011.103409803,21713.89659019748
2037.6480446927374,8761728.617139023,20048.382860976973
2037.731843575419,8763316.655722719,18510.344277280838
2037.8156424581005,8764786.93179448,17090.068205521024
2037.8994413407822,8766144.435249094,15778.564750905847
2037.9832402234638,8767397.466971945,14567.533028054351
2038.0670391061453,8768557.692568865,13449.307431135425
2038.1508379888269,8769629.207320316,12416.79267968488
2038.2346368715084,8770618.562593393,11463.437406607683
2038.31843575419,8771535.80685393,10583.193146070678
2038.4022346368715,8772381.539453944,9770.460546055376
2038.486033519553,8773165.921700275,9020.078299725825
2038.5698324022346,8773886.734155204,8327.265844796519
2038.6536312849162,8774554.379835846,7687.620164154775
2038.7374301675977,8775171.93270543,7097.067294569147
2038.8212290502793,8775745.153210683,6551.846789317338
2038.9050279329608,8776270.521053826,6048.478946173295
2038.9888268156424,8776761.238020634,5583.761979365681
2039.072625698324,8777212.273156257,5154.726843743365
2039.1564245810057,8777628.36181417,4758.638185830206
2039.2402234636872,8778013.030795978,4392.969204021554
2039.3240223463688,8778371.612662772,4055.3873372288954
2039.4078212290503,8778699.265928185,3743.734071815938
2039.491620111732,8779003.977926102,3456.0220738983076
2039.5754189944134,8779286.58682938,3190.413170621152
2039.659217877095,8779545.790497331,2945.2095026697375
2039.7430167597765,8779787.154221196,2718.845778803379
2039.826815642458,8780009.125565022,2509.8744349777708
2039.9106145251396,8780215.03954424,2316.9604557605103
2039.9944134078212,8780406.129380662,2138.870619337389
2040.0782122905027,8780582.53390087,1974.4660991301953
2040.1620111731843,8780746.304073306,1822.6959266935332
2040.2458100558658,8780897.410640644,1682.5893593558033
2040.3296089385474,8781035.749787739,1553.2502122609592
2040.4134078212292,8781167.147883408,1433.85211659312
2040.4972067039107,8781283.370154332,1323.6298456675518
2040.5810055865923,8781394.12024267,1221.8797573305558
2040.6648044692738,8781498.04947337,1127.95052663014
2040.7486033519554,8781590.759438254,1041.2405617465406
2040.832402234637,8781678.804180022,961.1958199773115
2040.9162011173185,8781759.696253214,887.303746786349
2041.0,8781833.908485273,819.0915147269775
